serial,UniquePsKey_,PsKey_,TpNum_,TpOrigCSDuid,TpDestCSDuid,TpStartTimeExt,trip_week,weekday,,,TpDateExt,Week,TpDayExt,Mon,Tue,Wed,Thu,Fri,Sat,Sun,WeekDay
90,134,175,6,3520005,3520005,2220,2,5,,,10/12/2019,2,Sat,0,0,0,0,0,5,0,5
91,137,178,1,3519036,3519036,1100,2,5,,,10/12/2019,2,Sat,0,0,0,0,0,5,0,5
92,137,178,2,3519036,3519036,1530,2,5,,,10/12/2019,2,Sat,0,0,0,0,0,5,0,5
93,137,178,3,3519036,3519036,1700,2,5,,,10/12/2019,2,Sat,0,0,0,0,0,5,0,5
94,137,178,4,3519036,3519036,2345,2,5,,,10/12/2019,2,Sat,0,0,0,0,0,5,0,5
95,141,182,1,3520005,3520005,800,8,1,,,11/19/2019,8,Tue,0,1,0,0,0,0,0,1
96,141,182,2,3520005,3520005,1800,8,1,,,11/19/2019,8,Tue,0,1,0,0,0,0,0,1
97,142,183,1,3521010,3519028,2000,2,5,,,10/12/2019,2,Sat,0,0,0,0,0,5,0,5
98,150,192,1,3520005,3520005,1130,2,5,,,10/12/2019,2,Sat,0,0,0,0,0,5,0,5
99,150,192,2,3520005,3520005,1200,2,5,,,10/12/2019,2,Sat,0,0,0,0,0,5,0,5
100,150,192,3,3520005,3524009,1230,2,5,,,10/12/2019,2,Sat,0,0,0,0,0,5,0,5
101,150,192,4,3524009,3520005,1400,2,5,,,10/12/2019,2,Sat,0,0,0,0,0,5,0,5
102,153,197,1,3518001,3520005,1000,3,6,,,10/13/2019,3,Sun,0,0,0,0,0,0,6,6
103,153,197,2,3520005,3518001,1600,3,6,,,10/13/2019,3,Sun,0,0,0,0,0,0,6,6
104,153,197,3,3518001,3518001,1800,3,6,,,10/13/2019,3,Sun,0,0,0,0,0,0,6,6
105,157,201,1,3520005,3519028,1328,3,0,,,10/14/2019,3,Mon,0,0,0,0,0,0,0,0
106,161,207,1,3519046,3520005,600,3,0,,,10/14/2019,3,Mon,0,0,0,0,0,0,0,0
107,161,207,2,3520005,3519046,1430,3,0,,,10/14/2019,3,Mon,0,0,0,0,0,0,0,0
108,165,213,1,3520005,3518001,2400,3,1,,,10/15/2019,3,Tue,0,1,0,0,0,0,0,1
109,170,220,1,3519038,3519038,1015,3,5,,,10/19/2019,3,Sat,0,0,0,0,0,5,0,5
110,170,220,2,3519038,3519038,1030,3,5,,,10/19/2019,3,Sat,0,0,0,0,0,5,0,5
111,170,220,3,3519038,3520005,1230,3,5,,,10/19/2019,3,Sat,0,0,0,0,0,5,0,5
112,170,220,4,3520005,3520005,1530,3,5,,,10/19/2019,3,Sat,0,0,0,0,0,5,0,5
113,170,220,5,3520005,3519038,1730,3,5,,,10/19/2019,3,Sat,0,0,0,0,0,5,0,5
114,172,223,1,3519028,3519028,1410,3,0,,,10/14/2019,3,Mon,0,0,0,0,0,0,0,0
115,174,225,1,3516010,3515014,2130,3,0,,,10/14/2019,3,Mon,0,0,0,0,0,0,0,0
116,175,226,1,3520005,3520005,730,3,1,,,10/15/2019,3,Tue,0,1,0,0,0,0,0,1
117,175,226,2,3520005,3520005,1330,3,1,,,10/15/2019,3,Tue,0,1,0,0,0,0,0,1
118,175,226,3,3520005,3520005,1400,3,1,,,10/15/2019,3,Tue,0,1,0,0,0,0,0,1
119,177,228,1,3520005,3520005,907,3,1,,,10/15/2019,3,Tue,0,1,0,0,0,0,0,1
120,183,236,1,3521010,3520005,531,3,1,,,10/15/2019,3,Tue,0,1,0,0,0,0,0,1
121,186,239,1,3520005,3520005,1615,3,1,,,10/15/2019,3,Tue,0,1,0,0,0,0,0,1
122,187,240,1,3520005,3520005,720,3,1,,,10/15/2019,3,Tue,0,1,0,0,0,0,0,1
123,188,242,1,3520005,3520005,830,3,1,,,10/15/2019,3,Tue,0,1,0,0,0,0,0,1
124,188,242,2,3520005,,1130,3,1,,,10/15/2019,3,Tue,0,1,0,0,0,0,0,1
125,188,242,3,3520005,3520005,1400,3,1,,,10/15/2019,3,Tue,0,1,0,0,0,0,0,1
126,189,243,1,3520005,3520005,1100,3,1,,,10/15/2019,3,Tue,0,1,0,0,0,0,0,1
127,189,243,2,3520005,3520005,1845,3,1,,,10/15/2019,3,Tue,0,1,0,0,0,0,0,1
128,193,250,1,3520005,3520005,900,3,2,,,10/16/2019,3,Wed,0,0,2,0,0,0,0,2
129,199,256,1,3520005,3520005,1815,3,2,,,10/16/2019,3,Wed,0,0,2,0,0,0,0,2
130,202,259,1,3520005,3520005,1500,3,2,,,10/16/2019,3,Wed,0,0,2,0,0,0,0,2
131,203,260,1,3520005,3520005,930,3,2,,,10/16/2019,3,Wed,0,0,2,0,0,0,0,2
132,203,260,2,3520005,3520005,1740,3,2,,,10/16/2019,3,Wed,0,0,2,0,0,0,0,2
133,206,265,1,3518005,3520005,1100,3,3,,,10/17/2019,3,Thu,0,0,0,3,0,0,0,3
134,207,266,1,3520005,3520005,800,3,3,,,10/17/2019,3,Thu,0,0,0,3,0,0,0,3
135,211,270,1,3520005,3521010,1500,3,3,,,10/17/2019,3,Thu,0,0,0,3,0,0,0,3
136,216,277,1,3520005,3520005,800,3,3,,,10/17/2019,3,Thu,0,0,0,3,0,0,0,3
137,216,277,2,3520005,3520005,1200,3,3,,,10/17/2019,3,Thu,0,0,0,3,0,0,0,3
138,216,277,3,3520005,3520005,2400,3,3,,,10/17/2019,3,Thu,0,0,0,3,0,0,0,3
139,222,284,1,3520005,3520005,730,3,4,,,10/18/2019,3,Fri,0,0,0,0,4,0,0,4
140,223,285,1,3521010,3521010,1302,3,4,,,10/18/2019,3,Fri,0,0,0,0,4,0,0,4
141,233,297,1,3521010,3520005,900,3,4,,,10/18/2019,3,Fri,0,0,0,0,4,0,0,4
142,234,298,1,3520005,3520005,1110,3,5,,,10/19/2019,3,Sat,0,0,0,0,0,5,0,5
143,241,308,1,3520005,3520005,1500,4,6,,,10/20/2019,4,Sun,0,0,0,0,0,0,6,6
144,244,312,1,3520005,3520005,1140,4,1,,,10/22/2019,4,Tue,0,1,0,0,0,0,0,1
145,246,315,1,3520005,3520005,1800,5,6,,,10/27/2019,5,Sun,0,0,0,0,0,0,6,6
146,246,315,2,3520005,3520005,2100,5,6,,,10/27/2019,5,Sun,0,0,0,0,0,0,6,6
147,252,323,1,3520005,3520005,1400,5,6,,,10/27/2019,5,Sun,0,0,0,0,0,0,6,6
148,252,323,2,3520005,3520005,1600,5,6,,,10/27/2019,5,Sun,0,0,0,0,0,0,6,6
149,255,328,1,3543052,3520005,1000,5,6,,,10/27/2019,5,Sun,0,0,0,0,0,0,6,6
150,255,328,2,3520005,3520005,1350,5,6,,,10/27/2019,5,Sun,0,0,0,0,0,0,6,6
151,268,341,1,3520005,3520005,1710,5,0,,,10/28/2019,5,Mon,0,0,0,0,0,0,0,0
152,269,342,1,3518013,3518017,2615,5,1,,,10/29/2019,5,Tue,0,1,0,0,0,0,0,1
153,270,343,1,3518013,3518009,1040,5,0,,,10/28/2019,5,Mon,0,0,0,0,0,0,0,0
154,272,345,1,3520005,3520005,745,5,0,,,10/28/2019,5,Mon,0,0,0,0,0,0,0,0
155,280,353,1,3520005,3520005,745,5,0,,,10/28/2019,5,Mon,0,0,0,0,0,0,0,0
156,280,353,2,3520005,3521005,1600,5,0,,,10/28/2019,5,Mon,0,0,0,0,0,0,0,0
157,280,353,3,3521005,3520005,1700,5,0,,,10/28/2019,5,Mon,0,0,0,0,0,0,0,0
158,281,354,1,3521005,3520005,915,5,0,,,10/28/2019,5,Mon,0,0,0,0,0,0,0,0
159,283,356,1,3520005,3520005,1300,5,0,,,10/28/2019,5,Mon,0,0,0,0,0,0,0,0
160,288,362,1,3520005,3520005,900,5,0,,,10/28/2019,5,Mon,0,0,0,0,0,0,0,0
161,291,366,1,3520005,3520005,830,5,0,,,10/28/2019,5,Mon,0,0,0,0,0,0,0,0
162,291,366,2,3520005,3520005,1020,5,0,,,10/28/2019,5,Mon,0,0,0,0,0,0,0,0
163,296,371,1,3520005,3520005,720,5,1,,,10/29/2019,5,Tue,0,1,0,0,0,0,0,1
164,300,375,1,3520005,3520005,1145,5,1,,,10/29/2019,5,Tue,0,1,0,0,0,0,0,1
165,300,375,2,3520005,3520005,1200,5,1,,,10/29/2019,5,Tue,0,1,0,0,0,0,0,1
166,300,375,3,3520005,3520005,1630,5,1,,,10/29/2019,5,Tue,0,1,0,0,0,0,0,1
167,300,375,4,3520005,3520005,1650,5,1,,,10/29/2019,5,Tue,0,1,0,0,0,0,0,1
168,301,376,1,3520005,3520005,1516,5,1,,,10/29/2019,5,Tue,0,1,0,0,0,0,0,1
169,304,387,1,3520005,3520005,630,8,1,,,11/19/2019,8,Tue,0,1,0,0,0,0,0,1
170,304,387,2,3520005,3520005,1420,8,1,,,11/19/2019,8,Tue,0,1,0,0,0,0,0,1
171,304,387,3,3520005,3520005,1600,8,1,,,11/19/2019,8,Tue,0,1,0,0,0,0,0,1
172,304,387,4,3520005,3520005,1800,8,1,,,11/19/2019,8,Tue,0,1,0,0,0,0,0,1
173,308,394,1,3520005,3520005,600,5,2,,,10/30/2019,5,Wed,0,0,2,0,0,0,0,2
174,309,395,1,3520005,3520005,725,5,2,,,10/30/2019,5,Wed,0,0,2,0,0,0,0,2
175,309,395,2,3520005,3520005,1138,5,2,,,10/30/2019,5,Wed,0,0,2,0,0,0,0,2
176,309,395,3,3520005,3520005,1311,5,2,,,10/30/2019,5,Wed,0,0,2,0,0,0,0,2
177,310,397,1,3520005,3520005,900,5,2,,,10/30/2019,5,Wed,0,0,2,0,0,0,0,2
178,311,398,1,3520005,3520005,400,5,2,,,10/30/2019,5,Wed,0,0,2,0,0,0,0,2
179,314,401,1,3520005,3520005,1000,5,2,,,10/30/2019,5,Wed,0,0,2,0,0,0,0,2
180,314,401,2,3520005,3520005,1300,5,2,,,10/30/2019,5,Wed,0,0,2,0,0,0,0,2
181,314,401,3,3520005,3520005,1530,5,2,,,10/30/2019,5,Wed,0,0,2,0,0,0,0,2
182,314,401,4,3520005,3520005,1730,5,2,,,10/30/2019,5,Wed,0,0,2,0,0,0,0,2
183,315,403,1,3520005,3520005,1119,5,2,,,10/30/2019,5,Wed,0,0,2,0,0,0,0,2
